modelo,precision,recall,f1_score,roc_auc,pr_auc,tempo_treino_s,tempo_pred_s
xgboost,0.0,0.0,0.0,0.794666410356943,0.001738963651189458,13.11,0.38
logistic_regression,0.0008564576909900651,0.35714285714285715,0.0017088174982911825,0.6006621546004424,0.0010441849439848895,84.56,0.12
extra_trees,0.0016891891891891893,0.14285714285714285,0.00333889816360601,0.7388714632113071,0.000773447733912007,12.05,0.72
lightgbm,0.0011376564277588168,0.2857142857142857,0.0022662889518413596,0.6194619018435267,0.00045825014974085784,1.87,0.17
catboost,0.0,0.0,0.0,0.5873200915101845,0.00042198112552042455,7.94,0.12
