modelo,precision,recall,f1_score,roc_auc,pr_auc,limiar_recall_60,verdadeiros_positivos (TP),falsos_positivos (FP),total_alertas
logistic_regression,0.000749063670411985,0.6428571428571429,0.0014963837392966996,0.8680686935436596,0.010301542168267617,0.23843337319402574,9,12006,12015
catboost,0.0005164844624257553,0.8571428571428571,0.0010323468685478321,0.8154008519126161,0.003476700386089555,0.04942464684786891,12,23222,23234
xgboost,0.0006087662337662338,0.6428571428571429,0.0012163805919718882,0.7689424939951199,0.002983612926024955,4.8052850615931675e-05,9,14775,14784
extra_trees,0.0009796451507565038,0.6428571428571429,0.0019563090968373,0.8104418297469005,0.001551448239292592,0.023210263591801544,9,9178,9187
lightgbm,0.00026932399676811203,0.8571428571428571,0.0005384787973973525,0.6318409001800513,0.0002574902313060495,1.0,12,44544,44556
